DateTime,Junction,Vehicles,ID,hour,dayofweek,month,is_weekend,hour_sin,hour_cos,veh_lag_1,veh_lag_2,veh_lag_3,veh_lag_24
2015-11-02 00:00:00,1,14,20151102001,0,0,11,0,0.0,1.0,15.0,20.0,19.0,15.0
2015-11-02 01:00:00,1,12,20151102011,1,0,11,0,0.25881904510252074,0.9659258262890683,14.0,15.0,20.0,13.0
2015-11-02 02:00:00,1,14,20151102021,2,0,11,0,0.49999999999999994,0.8660254037844387,12.0,14.0,15.0,10.0
2015-11-02 03:00:00,1,12,20151102031,3,0,11,0,0.7071067811865475,0.7071067811865476,14.0,12.0,14.0,7.0
2015-11-02 04:00:00,1,12,20151102041,4,0,11,0,0.8660254037844386,0.5000000000000001,12.0,14.0,12.0,9.0
2015-11-02 05:00:00,1,11,20151102051,5,0,11,0,0.9659258262890683,0.25881904510252074,12.0,12.0,14.0,6.0
2015-11-02 06:00:00,1,13,20151102061,6,0,11,0,1.0,6.123233995736766e-17,11.0,12.0,12.0,9.0
2015-11-02 07:00:00,1,14,20151102071,7,0,11,0,0.9659258262890683,-0.25881904510252063,13.0,11.0,12.0,8.0
2015-11-02 08:00:00,1,12,20151102081,8,0,11,0,0.8660254037844387,-0.4999999999999998,14.0,13.0,11.0,11.0
2015-11-02 09:00:00,1,22,20151102091,9,0,11,0,0.7071067811865476,-0.7071067811865475,12.0,14.0,13.0,12.0
2015-11-02 10:00:00,1,32,20151102101,10,0,11,0,0.49999999999999994,-0.8660254037844387,22.0,12.0,14.0,15.0
2015-11-02 11:00:00,1,31,20151102111,11,0,11,0,0.258819045102521,-0.9659258262890682,32.0,22.0,12.0,17.0
2015-11-02 12:00:00,1,35,20151102121,12,0,11,0,1.2246467991473532e-16,-1.0,31.0,32.0,22.0,16.0
2015-11-02 13:00:00,1,26,20151102131,13,0,11,0,-0.2588190451025208,-0.9659258262890683,35.0,31.0,32.0,15.0
2015-11-02 14:00:00,1,34,20151102141,14,0,11,0,-0.4999999999999997,-0.8660254037844388,26.0,35.0,31.0,16.0
2015-11-02 15:00:00,1,30,20151102151,15,0,11,0,-0.7071067811865471,-0.7071067811865479,34.0,26.0,35.0,12.0
2015-11-02 16:00:00,1,27,20151102161,16,0,11,0,-0.8660254037844384,-0.5000000000000004,30.0,34.0,26.0,12.0
2015-11-02 17:00:00,1,27,20151102171,17,0,11,0,-0.9659258262890683,-0.25881904510252063,27.0,30.0,34.0,16.0
2015-11-02 18:00:00,1,24,20151102181,18,0,11,0,-1.0,-1.8369701987210297e-16,27.0,27.0,30.0,17.0
2015-11-02 19:00:00,1,26,20151102191,19,0,11,0,-0.9659258262890684,0.2588190451025203,24.0,27.0,27.0,20.0
2015-11-02 20:00:00,1,29,20151102201,20,0,11,0,-0.8660254037844386,0.5000000000000001,26.0,24.0,27.0,17.0
2015-11-02 21:00:00,1,32,20151102211,21,0,11,0,-0.7071067811865477,0.7071067811865474,29.0,26.0,24.0,19.0
2015-11-02 22:00:00,1,30,20151102221,22,0,11,0,-0.5000000000000004,0.8660254037844384,32.0,29.0,26.0,20.0
2015-11-02 23:00:00,1,27,20151102231,23,0,11,0,-0.25881904510252157,0.9659258262890681,30.0,32.0,29.0,15.0
2015-11-03 00:00:00,1,21,20151103001,0,1,11,0,0.0,1.0,27.0,30.0,32.0,14.0
2015-11-03 01:00:00,1,18,20151103011,1,1,11,0,0.25881904510252074,0.9659258262890683,21.0,27.0,30.0,12.0
2015-11-03 02:00:00,1,19,20151103021,2,1,11,0,0.49999999999999994,0.8660254037844387,18.0,21.0,27.0,14.0
2015-11-03 03:00:00,1,13,20151103031,3,1,11,0,0.7071067811865475,0.7071067811865476,19.0,18.0,21.0,12.0
2015-11-03 04:00:00,1,11,20151103041,4,1,11,0,0.8660254037844386,0.5000000000000001,13.0,19.0,18.0,12.0
2015-11-03 05:00:00,1,11,20151103051,5,1,11,0,0.9659258262890683,0.25881904510252074,11.0,13.0,19.0,11.0
2015-11-03 06:00:00,1,11,20151103061,6,1,11,0,1.0,6.123233995736766e-17,11.0,11.0,13.0,13.0
2015-11-03 07:00:00,1,14,20151103071,7,1,11,0,0.9659258262890683,-0.25881904510252063,11.0,11.0,11.0,14.0
2015-11-03 08:00:00,1,15,20151103081,8,1,11,0,0.8660254037844387,-0.4999999999999998,14.0,11.0,11.0,12.0
2015-11-03 09:00:00,1,29,20151103091,9,1,11,0,0.7071067811865476,-0.7071067811865475,15.0,14.0,11.0,22.0
2015-11-03 10:00:00,1,33,20151103101,10,1,11,0,0.49999999999999994,-0.8660254037844387,29.0,15.0,14.0,32.0
2015-11-03 11:00:00,1,32,20151103111,11,1,11,0,0.258819045102521,-0.9659258262890682,33.0,29.0,15.0,31.0
2015-11-03 12:00:00,1,32,20151103121,12,1,11,0,1.2246467991473532e-16,-1.0,32.0,33.0,29.0,35.0
2015-11-03 13:00:00,1,29,20151103131,13,1,11,0,-0.2588190451025208,-0.9659258262890683,32.0,32.0,33.0,26.0
2015-11-03 14:00:00,1,27,20151103141,14,1,11,0,-0.4999999999999997,-0.8660254037844388,29.0,32.0,32.0,34.0
2015-11-03 15:00:00,1,26,20151103151,15,1,11,0,-0.7071067811865471,-0.7071067811865479,27.0,29.0,32.0,30.0
2015-11-03 16:00:00,1,28,20151103161,16,1,11,0,-0.8660254037844384,-0.5000000000000004,26.0,27.0,29.0,27.0
2015-11-03 17:00:00,1,26,20151103171,17,1,11,0,-0.9659258262890683,-0.25881904510252063,28.0,26.0,27.0,27.0
2015-11-03 18:00:00,1,25,20151103181,18,1,11,0,-1.0,-1.8369701987210297e-16,26.0,28.0,26.0,24.0
2015-11-03 19:00:00,1,29,20151103191,19,1,11,0,-0.9659258262890684,0.2588190451025203,25.0,26.0,28.0,26.0
2015-11-03 20:00:00,1,26,20151103201,20,1,11,0,-0.8660254037844386,0.5000000000000001,29.0,25.0,26.0,29.0
2015-11-03 21:00:00,1,24,20151103211,21,1,11,0,-0.7071067811865477,0.7071067811865474,26.0,29.0,25.0,32.0
2015-11-03 22:00:00,1,25,20151103221,22,1,11,0,-0.5000000000000004,0.8660254037844384,24.0,26.0,29.0,30.0
2015-11-03 23:00:00,1,20,20151103231,23,1,11,0,-0.25881904510252157,0.9659258262890681,25.0,24.0,26.0,27.0
2015-11-04 00:00:00,1,18,20151104001,0,2,11,0,0.0,1.0,20.0,25.0,24.0,21.0
2015-11-04 01:00:00,1,18,20151104011,1,2,11,0,0.25881904510252074,0.9659258262890683,18.0,20.0,25.0,18.0
